gene,is_cgc
KTN1,in_cgc
LARP4B,in_cgc
LASP1,in_cgc
LATS1,in_cgc
LATS2,in_cgc
LCK,in_cgc
LCP1,in_cgc
LEF1,in_cgc
LEPROTL1,in_cgc
LHFPL6,in_cgc
LIFR,in_cgc
LMNA,in_cgc
LMO1,in_cgc
LMO2,in_cgc
LPP,in_cgc
LRIG3,in_cgc
LRP1B,in_cgc
LSM14A,in_cgc
LYL1,in_cgc
LYN,in_cgc
LZTR1,in_cgc
MACC1,in_cgc
MAF,in_cgc
MAFB,in_cgc
MALAT1,in_cgc
MALT1,in_cgc
MAML2,in_cgc
MAP2K1,in_cgc
MAP2K2,in_cgc
MAP2K4,in_cgc
MAP3K1,in_cgc
MAP3K13,in_cgc
MAPK1,in_cgc
MAX,in_cgc
MB21D2,in_cgc
MDM2,in_cgc
MDM4,in_cgc
MDS2,in_cgc
MECOM,in_cgc
MED12,in_cgc
MEN1,in_cgc
MET,in_cgc
MGMT,in_cgc
MITF,in_cgc
MLF1,in_cgc
MLH1,in_cgc
MLLT1,in_cgc
MLLT10,in_cgc
MLLT11,in_cgc
MLLT3,in_cgc
MLLT6,in_cgc
MN1,in_cgc
MNX1,in_cgc
MPL,in_cgc
MRTFA,in_cgc
MSH2,in_cgc
MSH6,in_cgc
MSI2,in_cgc
MSN,in_cgc
MTCP1,in_cgc
MTOR,in_cgc
MUC1,in_cgc
MUC16,in_cgc
MUC4,in_cgc
MUTYH,in_cgc
MYB,in_cgc
MYC,in_cgc
MYCL,in_cgc
MYCN,in_cgc
MYD88,in_cgc
MYH11,in_cgc
MYH9,in_cgc
MYO5A,in_cgc
MYOD1,in_cgc
N4BP2,in_cgc
NAB2,in_cgc
NACA,in_cgc
NBEA,in_cgc
NBN,in_cgc
NCKIPSD,in_cgc
NCOA1,in_cgc
NCOA2,in_cgc
NCOA4,in_cgc
NCOR1,in_cgc
NCOR2,in_cgc
NDRG1,in_cgc
NF1,in_cgc
NF2,in_cgc
NFATC2,in_cgc
NFE2L2,in_cgc
NFIB,in_cgc
NFKB2,in_cgc
NFKBIE,in_cgc
NIN,in_cgc
NKX2-1,in_cgc
NONO,in_cgc
NOTCH1,in_cgc
NOTCH2,in_cgc
NPM1,in_cgc
NR4A3,in_cgc
NRAS,in_cgc
NRG1,in_cgc
NSD1,in_cgc
NSD2,in_cgc
NSD3,in_cgc
NT5C2,in_cgc
NTHL1,in_cgc
NTRK1,in_cgc
NTRK3,in_cgc
NUMA1,in_cgc
NUP214,in_cgc
NUP98,in_cgc
NUTM1,in_cgc
NUTM2B,in_cgc
NUTM2D,in_cgc
OLIG2,in_cgc
OMD,in_cgc
P2RY8,in_cgc
PABPC1,in_cgc
PAFAH1B2,in_cgc
PALB2,in_cgc
PATZ1,in_cgc
PAX3,in_cgc
PAX5,in_cgc
PAX7,in_cgc
PAX8,in_cgc
PBRM1,in_cgc
PBX1,in_cgc
PCBP1,in_cgc
PCM1,in_cgc
PDCD1LG2,in_cgc
PDE4DIP,in_cgc
PDGFB,in_cgc
PDGFRA,in_cgc
PDGFRB,in_cgc
PER1,in_cgc
PHF6,in_cgc
PHOX2B,in_cgc
PICALM,in_cgc
PIK3CA,in_cgc
PIK3CB,in_cgc
PIK3R1,in_cgc
PIM1,in_cgc
PLAG1,in_cgc
PLCG1,in_cgc
PML,in_cgc
PMS1,in_cgc
PMS2,in_cgc
POLD1,in_cgc
POLE,in_cgc
POLG,in_cgc
POLQ,in_cgc
POLR2A,in_cgc
POT1,in_cgc
POU2AF1,in_cgc
POU5F1,in_cgc
PPARG,in_cgc
PPFIBP1,in_cgc
PPM1D,in_cgc
PPP2R1A,in_cgc
PPP6C,in_cgc
PRCC,in_cgc
PRDM1,in_cgc
PRDM16,in_cgc
PRDM2,in_cgc
PREX2,in_cgc
PRF1,in_cgc
PRKACA,in_cgc
PRKAR1A,in_cgc
PRKCB,in_cgc
PRKD1,in_cgc
PRPF40B,in_cgc
PRRX1,in_cgc
PSIP1,in_cgc
PTCH1,in_cgc
PTEN,in_cgc
PTK6,in_cgc
PTPN11,in_cgc
PTPN13,in_cgc
PTPN6,in_cgc
PTPRB,in_cgc
PTPRC,in_cgc
PTPRD,in_cgc
PTPRK,in_cgc
PTPRT,in_cgc
PWWP2A,in_cgc
QKI,in_cgc
RABEP1,in_cgc
RAC1,in_cgc
RAD17,in_cgc
RAD21,in_cgc
